~, Ui_st_community, Pda_encyclopedia_name, St_data_export_description, St_prop_weight, St_upgr_cost, Ui_mm_repair, Ui_inv_outfit_durability_physical, Ui_inv_outfit_durability_anomaly, Ui_inv_outfit_fire_wound_protection, Ui_inv_outfit_wound_protection, Ui_inv_outfit_burn_protection, Ui_inv_outfit_shock_protection, Ui_inv_outfit_chemical_burn_protection, Ui_inv_outfit_radiation_protection, Ui_inv_outfit_telepatic_protection, Ui_inv_outfit_strike_protection, Ui_inv_outfit_explosion_protection, Ui_inv_outfit_artefact_count, St_data_export_outfit_artefact_count_max, Ui_inv_outfit_additional_weight, Ui_inv_outfit_speed
merc_combat_scientific_outfit,killer,merc_combat_scientific_outfit_name,merc_combat_scientific_outfit_description,9.95,76782,H,83%,96%,6153%,4526%,1599%,3249%,11999%,4225%,2166%,3400%,2000%,2,4,16,98%
cs_scientific_outfit,csky,cs_scientific_outfit_name,cs_scientific_outfit_description,7.68,53270,H,83%,96%,5307%,3157%,3400%,6499%,20999%,5352%,1916%,2000%,1333%,2,4,16,98%
dolg_nosorog_outfit,dolg,dolg_nosorog_outfit_name,nosorog_outfit_description,38.70,185400,E,90%,71%,7999%,7052%,2500%,2249%,18999%,4788%,1516%,6700%,3466%,2,4,105,100%
army_nosorog_outfit,army,army_nosorog_outfit_name,nosorog_outfit_description,36.10,186420,E,90%,71%,8307%,6526%,2300%,2000%,15000%,4507%,1516%,6100%,4333%,2,4,105,100%
merc_nosorog_outfit,killer,merc_nosorog_outfit_name,nosorog_outfit_description,46.10,187420,E,90%,71%,8307%,6684%,2000%,2000%,17000%,4647%,1516%,6349%,5000%,2,4,105,100%
isg_scientific_outfit,isg,isg_scientific_outfit_name,isg_scientific_outfit_description,10.63,85280,H,83%,96%,6153%,3894%,2899%,4749%,17000%,5070%,2083%,3000%,1733%,2,4,16,98%
military_exo_outfit,army,military_exo_outfit_name,military_exo_outfit_description,26.10,126420,E,86%,71%,7846%,5473%,2300%,2000%,15000%,4507%,1333%,5099%,3666%,2,4,105,102%
isg_exolight_outfit,isg,isg_exolight_outfit_name,isg_exolight_outfit_description,16.30,91350,H,100%,71%,7615%,5263%,2800%,2500%,21999%,4929%,1666%,5000%,4000%,1,2,30,94%
dolg_exo_outfit,dolg,dolg_exo_outfit_name,dolg_exo_outfit_description,28.70,125400,E,86%,71%,7615%,5894%,2500%,2249%,18999%,4788%,999%,5600%,2799%,1,3,105,102%
freedom_exo_vineleaf_outfit,freedom,freedom_exo_vineleaf_outfit_name,freedom_exo_vineleaf_outfit_description,12.50,84350,H,100%,71%,7000%,5368%,2300%,2000%,15000%,4507%,666%,5099%,3199%,2,3,34,94%
bandit_exo_outfit,bandit,bandit_exo_outfit_name,bandit_exo_outfit_description,26.30,124870,E,86%,71%,7307%,5368%,2199%,2249%,18999%,4647%,1166%,5500%,3333%,2,4,121,102%
exo_merc_wood_outfit,killer,exo_merc_wood_outfit_name,exo_merc_wood_outfit_description,14.30,83350,H,100%,71%,7230%,5157%,2800%,2750%,20999%,4929%,999%,4900%,2200%,2,3,30,94%
svoboda_exo_outfit,freedom,svoboda_exo_outfit_name,svoboda_exo_outfit_description,27.50,133300,E,86%,71%,7846%,5578%,2599%,2500%,20000%,4788%,1166%,5299%,3199%,2,4,110,102%
ecolog_proto_exo_outfit,ecolog,ecolog_proto_exo_outfit_name,ecolog_proto_exo_outfit_description,15.64,88200,E,86%,71%,3615%,4105%,2599%,4000%,10999%,1549%,0%,3700%,1866%,2,4,88,110%
dolg_scientific_outfit,dolg,dolg_scientific_outfit_name,dolg_scientific_outfit_description,8.45,52910,H,83%,96%,5307%,4105%,2800%,4000%,14000%,4507%,1749%,3199%,1933%,1,3,16,98%
ecolog_outfit_red,ecolog,st_ecologist_outfit_red_name,st_ecologist_outfit_red_description,7.57,61160,H,61%,100%,4615%,2421%,7250%,6537%,23000%,6197%,2250%,2199%,1399%,3,5,18,99%
military_exolight_outfit,army,military_exolight_outfit_name,military_exolight_outfit_description,11.30,71350,H,98%,71%,7615%,4421%,2300%,2000%,15000%,4507%,1333%,4099%,3666%,2,3,30,94%
isg_nosorog_outfit,isg,isg_nosorog_outfit_name,nosorog_outfit_description,42.30,202560,E,90%,71%,8307%,7368%,2800%,2500%,21999%,4929%,1516%,6999%,4333%,1,3,105,100%
merc_scientific_outfit,killer,merc_scientific_outfit_name,merc_scientific_outfit_description,7.68,58475,H,83%,96%,6153%,3368%,3300%,4749%,17000%,4225%,1500%,2700%,1333%,2,4,14,98%
exo_merc_grass_outfit,killer,exo_merc_grass_outfit_name,exo_merc_grass_outfit_description,13.10,74350,H,98%,71%,7230%,4526%,6100%,2249%,18000%,4788%,999%,4300%,3666%,2,3,30,94%
monolith_proto_exo_outfit,monolith,monolith_proto_exo_outfit_name,monolith_proto_exo_outfit_description,19.12,105830,E,86%,71%,4769%,4736%,2599%,2874%,14000%,1408%,0%,4099%,2400%,1,4,90,110%
exo_dolg_red_outfit,dolg,exo_dolg_red_outfit_name,exo_dolg_red_outfit_description,15.30,78350,H,100%,71%,7000%,5684%,2599%,2249%,18000%,4788%,1999%,5400%,3666%,1,2,30,94%
exo_dolg_urban_outfit,dolg,exo_dolg_urban_outfit_name,exo_dolg_urban_outfit_description,13.30,78350,H,100%,71%,7615%,4526%,2300%,2000%,15000%,4507%,666%,4300%,4666%,1,2,26,94%
scientific_outfit,stalker,scientific_outfit_name,scientific_outfit_description,6.74,50670,H,83%,96%,5307%,3157%,3400%,5249%,18000%,3943%,1999%,2249%,1466%,2,4,16,98%
svoboda_scientific_outfit,freedom,svoboda_scientific_outfit_name,svoboda_scientific_outfit_description,6.17,52870,H,82%,96%,5307%,3315%,3400%,5249%,20999%,4507%,1916%,2649%,1399%,1,3,20,99%
renegade_exo_outfit,renegade,renegade_exo_outfit_name,renegade_exo_outfit_description,48.30,124870,E,86%,71%,7846%,5999%,1899%,2000%,17000%,4647%,999%,5500%,3333%,1,3,110,102%
exo_dolg_outfit,dolg,exo_dolg_outfit_name,exo_dolg_outfit_description,13.30,78350,H,100%,71%,7615%,4315%,2599%,2249%,18000%,4788%,999%,4099%,4666%,1,2,30,94%
svoboda_light_proto_exo_outfit,freedom,svoboda_light_proto_exo_outfit_name,svoboda_light_proto_exo_outfit_description,13.44,87500,E,86%,71%,3384%,4105%,1099%,1749%,7000%,985%,0%,3799%,1866%,2,5,90,110%
