~, Ui_st_community, Pda_encyclopedia_name, St_data_export_description, St_prop_weight, St_upgr_cost, Ui_mm_repair, Ui_inv_outfit_durability_physical, Ui_inv_outfit_durability_anomaly, Ui_inv_outfit_fire_wound_protection, Ui_inv_outfit_wound_protection, Ui_inv_outfit_burn_protection, Ui_inv_outfit_shock_protection, Ui_inv_outfit_chemical_burn_protection, Ui_inv_outfit_radiation_protection, Ui_inv_outfit_telepatic_protection, Ui_inv_outfit_strike_protection, Ui_inv_outfit_explosion_protection, Ui_inv_outfit_artefact_count, St_data_export_outfit_artefact_count_max, Ui_inv_outfit_additional_weight, Ui_inv_outfit_speed
army_outfit,army,army_outfit_name,army_outfit_description,5.60,13340,L,35%,28%,2307%,2526%,505%,500%,1850%,253%,0%,1899%,1399%,1,1,10,104%
novice_outfit_camo,st_data_export_unknown,novice_outfit_camo_name,novice_outfit_camo_description,3.01,8230,L,3%,0%,1615%,2210%,494%,450%,1799%,0%,0%,1599%,799%,0,0,15,106%
merc_fighter_outfit,killer,merc_fighter_outfit_name,merc_fighter_outfit_description,5.37,19780,L,23%,28%,2307%,2526%,799%,500%,2400%,281%,0%,2099%,1333%,1,3,12,104%
bandit_novice_outfit_alt,bandit,bandit_novice_alt_outfit_name,bandit_novice_alt_outfit_description,4.20,8840,L,3%,0%,2076%,2684%,465%,549%,1850%,0%,0%,1800%,1200%,0,0,6,105%
renegademerc_outfit,renegade,renegademerc_outfit_name,renegademerc_outfit_description,6.07,17800,L,23%,28%,2153%,2421%,780%,450%,2099%,281%,0%,2199%,1266%,2,3,17,104%
isg_lcs_outfit,isg,isg_lcs_outfit_name,isg_lcs_outfit_description,4.25,17850,L,35%,28%,1999%,2210%,1000%,575%,2800%,309%,0%,1899%,1200%,1,2,14,104%
merc_jackal_outfit,killer,merc_jackal_outfit_name,merc_jackal_outfit_description,4.22,18840,L,23%,28%,1999%,2210%,799%,500%,2400%,281%,0%,1899%,1200%,1,2,18,104%
isg_lcs_urban_outfit,isg,isg_lcs_urban_outfit_name,isg_lcs_urban_outfit_description,5.11,22900,L,35%,28%,2307%,2631%,1000%,575%,2800%,394%,0%,2099%,1266%,1,2,10,104%
monolith_trenchcoat_outfit,monolith,monolith_trenchcoat_outfit_name,trenchcoat_outfit_description,6.55,14190,L,2%,68%,2153%,1999%,775%,1024%,3400%,676%,683%,1400%,733%,2,4,8,104%
trenchcoat_freedom_brown_outfit,freedom,trenchcoat_freedom_brown_outfit_name,trenchcoat_brown_outfit_description,4.26,13200,L,2%,68%,1846%,1999%,785%,1099%,3649%,577%,0%,1400%,733%,1,3,11,104%
banditmerc_outfit,bandit,banditmerc_outfit_name,banditmerc_outfit_description,4.03,14500,L,23%,28%,1846%,2105%,829%,500%,2400%,309%,0%,1599%,1000%,2,3,22,104%
svoboda_novice_outfit,freedom,svoboda_novice_outfit_name,svoboda_novice_outfit_description,3.20,6065,L,3%,0%,1615%,1842%,939%,500%,1899%,0%,0%,1250%,699%,0,0,8,105%
novice_outfit_tourist,stalker,novice_outfit_tourist_name,novice_outfit_tourist_description,3.22,8220,L,3%,0%,1615%,1894%,529%,487%,2250%,0%,0%,1299%,666%,1,1,30,104%
ghillie_outfit,st_data_export_unknown,ghillie_outfit_name,ghillie_outfit_description,5.25,18300,L,23%,28%,1999%,1842%,500%,450%,1850%,0%,100%,1550%,866%,1,2,16,106%
dolg_novice_outfit,dolg,dolg_novice_outfit_name,dolg_novice_outfit_description,4.09,8150,L,3%,0%,1615%,2315%,509%,462%,1400%,0%,0%,1599%,799%,0,0,5,105%
trenchcoat_outfit,st_data_export_unknown,trenchcoat_outfit_name,trenchcoat_outfit_description,4.17,12660,L,2%,68%,1846%,2315%,724%,799%,2600%,352%,566%,1599%,933%,0,0,8,104%
cs_light_novice_outfit,csky,csky_light_novice_outfit_name,csky_light_novice_outfit_description,4.33,22760,L,35%,28%,1999%,1999%,1299%,649%,3200%,422%,0%,1800%,1133%,1,2,14,105%
merc_outfit,killer,merc_outfit_name,merc_outfit_description,4.88,15980,L,23%,28%,2153%,2210%,900%,549%,2600%,309%,0%,1899%,1200%,1,2,12,104%
merc_sunset_outfit,killer,merc_sunset_outfit_name,merc_sunset_outfit_description,4.76,19520,L,23%,28%,1999%,2105%,890%,524%,2500%,309%,0%,2099%,1200%,2,3,12,104%
merc_scout_outfit,killer,merc_scout_outfit_name,merc_scout_outfit_description,2.25,21270,L,23%,28%,1999%,1999%,920%,575%,2700%,394%,0%,1800%,1066%,1,3,10,104%
merc_coyote_outfit,killer,merc_coyote_outfit_name,merc_coyote_outfit_description,4.95,20400,L,23%,28%,1846%,2842%,920%,575%,2700%,338%,0%,2099%,1000%,1,2,12,104%
