~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power
wpn_aug,st_wpn_aug,st_wpn_aug_descr,3.30,40680,C,N,0%,0%,0.33999999364217,0.68,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.51
wpn_fnc,st_wpn_fnc,st_wpn_fnc_descr,4.06,27000,C,N,0%,0%,0.33333333333333,0.65,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.5
wpn_m4,st_wpn_m4,st_wpn_m4_descr,3.02,35560,C,N,0%,0%,0.3266666730245,0.75,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.49
wpn_ak74u_custom,st_wpn_ak74u_custom,st_wpn_ak74u_descr,2.48,23880,C,N,0%,0%,0.32333334287008,0.715,30,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,0.485
wpn_aks74,st_wpn_aks74,st_wpn_aks74_descr,3.20,25860,C,N,0%,0%,0.33333333333333,0.65,30,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,0.5
wpn_ak103_camo,st_wpn_ak103_camo,st_wpn_ak103_descr,3.60,38980,D,N,0%,0%,0.38666665554047,0.63,30,0,0,0%,0,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,0.58
wpn_aek_duty,st_wpn_aek973,st_wpn_aek973_descr,3.35,41580,D,N,0%,0%,0.38666665554047,0.9,30,0,0,0%,0,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,0.58
wpn_aug_a3,st_wpn_aug_a3,st_wpn_aug_a3_descr,3.90,43600,C,N,0%,0%,0.33999999364217,0.68,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.51
wpn_ak,st_wpn_ak,st_wpn_ak_descr,3.30,22650,D,N,0%,0%,0.38666665554047,0.6,30,0,0,0%,0,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,0.58
wpn_lr300_custom,st_wpn_lr300_custom,st_wpn_lr300_descr,3.10,33550,C,N,0%,0%,0.32333334287008,0.945,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.485
wpn_abakan_camo,st_wpn_abakan_camo,st_wpn_abakan_descr,3.85,40860,C,N,0%,0%,0.33333333333333,0.62,30,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,0.5
wpn_vintorez,st_wpn_vintorez,st_wpn_vintorez_descr,2.59,40580,D,N,0%,0%,0.41333333651225,0.8,10,0,0,0%,0,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,0.62
wpn_ace21,st_wpn_ace21,st_wpn_ace21_descr,2.80,31580,C,N,0%,0%,0.31999999284744,0.7,35,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.48
wpn_ak74_rpk,st_wpn_ak74_eot,st_wpn_ak74_eot_descr,3.62,33680,C,N,0%,0%,0.33333333333333,0.683,45,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,0.5
wpn_vintorez_alt,st_wpn_vintorez_alt,st_wpn_vintorez_descr,2.59,41860,D,N,0%,0%,0.41333333651225,0.75,10,0,0,0%,0,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,0.62
wpn_vintorez_1pn93,st_wpn_vintorez,st_wpn_vintorez_1pn93_descr,3.90,55880,D,N,0%,0%,0.41333333651225,0.8,10,0,0,0%,0,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,0.62
wpn_galil,st_wpn_galil,st_wpn_galil_descr,3.95,38580,D,N,0%,0%,0.50666666030884,0.63,25,0,0,0%,0,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,0.76
wpn_fal,st_wpn_fal,st_wpn_fal_descr,4.45,31300,D,N,0%,0%,0.50666666030884,0.675,20,0,0,0%,0,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,0.76
wpn_ak101_camo,st_wpn_ak101_camo,st_wpn_ak101_descr,3.60,38380,C,N,0%,0%,0.33333333333333,0.645,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.5
wpn_l85_custom,st_wpn_l85_custom,st_wpn_l85_descr,3.88,40580,C,N,0%,0%,0.33999999364217,0.693,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,0.51
wpn_sig550_camo,st_wpn_sig550_camo,st_wpn_sig550_descr,4.10,50860,C,N,0%,0%,0.33333333333333,0.755,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.5
wpn_akms_alt,st_wpn_akms_alt,st_wpn_akms_descr,3.30,26540,D,N,0%,0%,0.38666665554047,0.62,30,0,0,0%,0,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,0.58
wpn_fn2000_nimble,st_wpn_fn2000_nimble,st_wpn_fn2000_nimble_descr,3.80,48550,C,N,0%,0%,0.33999999364217,0.895,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.51
wpn_val_modern,st_wpn_val_modern,st_wpn_val_modern_descr,2.50,41580,D,N,0%,0%,0.41333333651225,0.84,20,0,0,0%,0,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,0.62
wpn_galil_modern,st_wpn_galil_modern,st_wpn_galil_descr,3.95,43680,D,N,0%,0%,0.50666666030884,0.645,25,0,0,0%,0,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,0.76
wpn_m4a1,st_wpn_m4a1,st_wpn_m4a1_descr,2.52,29560,C,N,0%,0%,0.3266666730245,0.77,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.49
wpn_val,st_wpn_val,st_wpn_val_descr,2.50,38860,D,N,0%,0%,0.41333333651225,0.9,20,0,0,0%,0,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,0.62
wpn_l85a2_modern,st_wpn_l85a2_modern,st_wpn_l85a2_descr,4.13,38580,C,N,0%,0%,0.33999999364217,0.65,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,0.51
wpn_fn2000_custom,st_wpn_fn2000_custom,st_wpn_fn2000_descr,3.80,49350,C,N,0%,0%,0.33999999364217,0.875,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.51
wpn_g3,st_wpn_g3,st_wpn_g3_descr,4.63,39880,D,N,0%,0%,0.38666665554047,0.6,20,0,0,0%,0,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,0.58
wpn_scar_custom,st_wpn_scar_custom,st_wpn_scar_descr,3.60,63580,D,N,0%,0%,0.5,0.675,20,0,0,0%,0,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,0.75
wpn_aks74_new,st_wpn_aks74_new,st_wpn_aks74_descr,3.20,26880,C,N,0%,0%,0.33333333333333,0.655,30,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,0.5
wpn_lr300,st_wpn_lr300,st_wpn_lr300_descr,3.10,26480,C,N,0%,0%,0.32333334287008,0.93,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.485
wpn_ak74m_custom,st_wpn_ak74m_custom,st_wpn_ak74m_descr,3.40,33980,C,N,0%,0%,0.33333333333333,0.65,30,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,0.5
wpn_aug_merc,st_wpn_aug_merc,st_wpn_aug_descr,3.30,45180,C,N,0%,0%,0.33999999364217,0.71,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.51
wpn_l85a2_custom,st_wpn_l85a2_custom,st_wpn_l85a2_descr,4.13,41560,C,N,0%,0%,0.33999999364217,0.62,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,0.51
wpn_l85a2,st_wpn_l85a2,st_wpn_l85a2_descr,4.13,35860,C,N,0%,0%,0.33999999364217,0.635,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,0.51
wpn_ak74m_alt,st_wpn_ak74m_alt,st_wpn_ak74m_descr,3.40,31850,C,N,0%,0%,0.33333333333333,0.635,30,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,0.5
wpn_m16,st_wpn_m16,st_wpn_m16_descr,3.09,35690,C,N,0%,0%,0.33333333333333,0.67,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.5
wpn_sig550_luckygun,st_wpn_sig550_strelok,st_wpn_sig550_strelok_descr,4.10,51980,C,N,0%,0%,0.33333333333333,0.8,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.5
wpn_ak74m,st_wpn_ak74m,st_wpn_ak74m_descr,3.40,30980,C,N,0%,0%,0.33333333333333,0.6,30,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,0.5
wpn_sig550_custom,st_wpn_sig550_custom,st_wpn_sig550_descr,4.10,45860,C,N,0%,0%,0.33333333333333,0.75,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.5
wpn_sig550,st_wpn_sig550,st_wpn_sig550_descr,4.10,43580,C,N,0%,0%,0.33333333333333,0.7,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.5
wpn_hk417,st_wpn_hk417,st_wpn_hk417_descr,4.20,35000,C,N,0%,0%,0.50666666030884,0.6,20,0,0,0%,0,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,0.76
wpn_hk416,st_wpn_hk416,st_wpn_hk416_descr,3.74,49580,C,N,0%,0%,0.3266666730245,0.85,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.49
wpn_rpd,st_wpn_rpd,st_wpn_rpd_descr,7.40,24580,D,N,0%,0%,0.3933333158493,0.6,100,0,0,0%,0,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,0.59
wpn_rpk74,st_wpn_rpk74,st_wpn_rpk74_descr,4.80,38980,C,N,0%,0%,0.33999999364217,0.65,45,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,0.51
wpn_ak74,st_wpn_ak74,st_wpn_ak74_descr,3.30,26950,C,N,0%,0%,0.33333333333333,0.65,30,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,0.5
wpn_ppsh41_woodnew,st_wpn_ppsh41_new,st_wpn_ppsh41_descr,3.65,18180,A,N,0%,0%,0.30666667222977,0.9,71,0,0,0%,0,ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,0.46
wpn_ak103,st_wpn_ak103,st_wpn_ak103_descr,3.60,33860,D,N,0%,0%,0.38666665554047,0.6,30,0,0,0%,0,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,0.58
