~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power
wpn_colt1911_alt,st_wpn_colt1911_alt,st_wpn_colt1911_descr,1.07,11280,A,Y,0%,0%,0.36666667461395,0.235,7,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_glock_modern,st_wpn_glock_modern,st_wpn_glock_modern_descr,0.62,15680,A,Y,0%,0%,0.30666667222977,0.525,17,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.46
wpn_colt1911_merc,st_wpn_colt1911_merc,st_wpn_colt1911_merc_descr,1.07,14860,A,Y,0%,0%,0.36666667461395,0.24,7,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_glock,st_wpn_glock,st_wpn_glock_descr,0.62,10960,A,Y,0%,0%,0.30666667222977,0.27,17,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_sig220_nimble,st_wpn_sig220_nimble,st_wpn_sig220_nimble_descr,1.13,18560,A,Y,0%,0%,0.36666667461395,0.244,7,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_mp443,st_wpn_grach,st_wpn_grach_descr,0.95,11580,A,Y,0%,0%,0.30666667222977,0.293,18,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_pm_actor,st_wpn_pm_actor,st_wpn_pm_actor_descr,0.73,7130,A,Y,0%,0%,0.29999999205271,0.305,8,0,0,0%,0,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_fnp45,st_wpn_fnp45,st_wpn_fnp45_descr,0.94,14860,A,Y,0%,0%,0.36666667461395,0.253,15,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_usp_match,st_wpn_usp_match,st_wpn_usp_match_descr,1.18,15360,A,Y,0%,0%,0.36666667461395,0.26,15,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.55
wpn_usp_custom,st_wpn_usp_custom,st_wpn_usp_descr,0.88,13580,A,Y,0%,0%,0.36666667461395,0.273,12,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_usp,st_wpn_usp,st_wpn_usp_descr,0.88,10960,A,Y,0%,0%,0.36666667461395,0.24,12,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_tt33_modern,st_wpn_tt33_modern,wpn_tt33_descr,0.85,12350,A,Y,0%,0%,0.29999999205271,0.24,8,0,0,0%,0,ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,0.45
wpn_colt1911_camo,st_wpn_colt1911_camo,st_wpn_colt1911_camo_descr,1.07,13880,A,Y,0%,0%,0.36666667461395,0.285,7,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_fort_snag,st_wpn_fort,st_wpn_fort_descr,0.68,5660,A,Y,0%,0%,0.29999999205271,0.24,12,0,0,0%,0,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_cz75,st_wpn_cz75,st_wpn_cz75_descr,1.12,9850,A,Y,0%,0%,0.30666667222977,0.258,16,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_fnp45_custom,st_wpn_fnp45_custom,st_wpn_fnp45_descr,0.94,17550,A,Y,0%,0%,0.36666667461395,0.268,15,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_gsh18_custom,st_wpn_gsh18_custom,st_wpn_gsh18_descr,0.58,11580,A,Y,0%,0%,0.30666667222977,0.35,18,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.46
wpn_aps,st_wpn_aps,st_wpn_aps_descr,1.02,9380,A,Y,0%,0%,0.29999999205271,0.65,20,0,0,0%,0,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_tt33,st_wpn_tt33,wpn_tt33_descr,0.85,9860,A,Y,0%,0%,0.29999999205271,0.21,8,0,0,0%,0,ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,0.45
wpn_mp412,st_wpn_mp412,st_wpn_mp412_descr,0.90,14680,A,Y,0%,0%,0.40000001589457,0.225,6,0,0,0%,0,ammo-357-hp;ammo-357-hp;ammo-357-hp,,0.6
wpn_sig220_custom,st_wpn_sig220_custom,st_wpn_sig220_descr,1.13,15880,A,Y,0%,0%,0.36666667461395,0.28,7,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_pmm,st_wpn_pmm,st_wpn_pmm_descr,0.76,7580,A,Y,0%,0%,0.29999999205271,0.245,12,0,0,0%,0,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_pb_custom,st_wpn_pb_custom,st_wpn_pb_descr,1.15,8190,A,Y,0%,0%,0.29999999205271,0.325,8,0,0,0%,0,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.45
wpn_colt1911,st_wpn_colt1911,st_wpn_colt1911_descr,1.07,8560,A,Y,0%,0%,0.36666667461395,0.23,7,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_hpsa,st_wpn_hpsa,st_wpn_hpsa_descr,0.97,8650,A,Y,0%,0%,0.30666667222977,0.265,13,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_fnx45_alt,st_wpn_fnx45_alt,st_wpn_fnx45_descr,1.30,12850,A,Y,0%,0%,0.36666667461395,0.25,15,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_desert_eagle_custom,st_wpn_desert_eagle_custom,st_wpn_desert_eagle_descr,1.90,23580,A,Y,0%,0%,0.40000001589457,0.238,9,0,0,0%,0,ammo-357-hp;ammo-357-hp;ammo-357-hp,,0.6
wpn_usp_nimble,st_wpn_usp_nimble,st_wpn_usp_nimble_descr,1.16,17690,A,Y,0%,0%,0.3133333325386,0.28,15,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.47
wpn_hpsa_alt,st_wpn_hpsa_alt,st_wpn_hpsa_descr,0.97,9960,A,Y,0%,0%,0.30666667222977,0.29,13,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_glock_custom,st_wpn_glock_custom,st_wpn_glock_descr,0.62,13580,A,Y,0%,0%,0.30666667222977,0.28,17,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_walther,st_wpn_walther,st_wpn_walther_descr,0.69,4890,A,Y,0%,0%,0.30666667222977,0.26,16,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.46
wpn_desert_eagle_nimble,st_wpn_desert_eagle_nimble,st_wpn_desert_eagle_nimble_descr,1.93,25880,A,Y,0%,0%,0.40000001589457,0.263,9,0,0,0%,0,ammo-357-hp;ammo-357-hp;ammo-357-hp,,0.6
wpn_beretta,st_wpn_beretta,st_wpn_beretta_descr,0.95,7120,A,Y,0%,0%,0.30666667222977,0.325,15,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_pb,st_wpn_pb,st_wpn_pb_descr,1.15,6580,A,Y,0%,0%,0.29999999205271,0.305,8,0,0,0%,0,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.45
wpn_beretta_alt,st_wpn_beretta_alt,st_wpn_beretta_descr,0.95,8290,A,Y,0%,0%,0.30666667222977,0.363,15,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_colt1911_modern,st_wpn_colt1911_modern,st_wpn_colt1911_descr,1.07,12380,A,Y,0%,0%,0.36666667461395,0.25,7,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_colt1911_new,st_wpn_colt1911_new,st_wpn_colt1911_descr,1.07,10480,A,Y,0%,0%,0.36666667461395,0.232,7,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_fort,st_wpn_fort,st_wpn_fort_descr,0.68,5660,A,Y,0%,0%,0.29999999205271,0.24,12,0,0,0%,0,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_desert_eagle_modern,st_wpn_desert_eagle_modern,st_wpn_desert_eagle_descr,1.90,22250,A,Y,0%,0%,0.40000001589457,0.252,9,0,0,0%,0,ammo-357-hp;ammo-357-hp;ammo-357-hp,,0.6
