~,st_data_export_price_multiplier
af_gold_fish_af_aam,0.44
af_gold_fish_af_iam,0.44
af_grapes,0.44
af_gravi,0.44
af_gravi2,0.44
af_gravi_af_aac,0.44
af_gravi_af_aam,0.44
af_gravi_af_iam,0.44
af_grid,0.44
af_grid_up,0.44
af_gubka3,0.44
af_iam,0.44
af_ice,0.44
af_ice3,0.44
af_ice_af_aac,0.44
af_ice_af_aam,0.44
af_ice_af_iam,0.44
af_indeikam3,0.44
af_itcher,0.44
af_itcher_af_aac,0.44
af_itcher_af_aam,0.44
af_itcher_af_iam,0.44
af_itcher_lead_box,0.44
af_itching1,0.44
af_itching_low,0.44
af_joker,0.44
af_karusel,0.44
af_kashtan,0.44
af_kevlar,0.44
af_kislushka,0.44
af_klaksa,0.44
af_kogot,0.44
af_kol_4,0.44
af_ledenec,0.44
af_life_heart,0.44
af_lifekam,0.44
af_lifekam3,0.44
af_lighthouse,0.44
af_lobster_eyes,0.44
af_lobster_eyes_af_aac,0.44
af_lobster_eyes_af_aam,0.44
af_lobster_eyes_af_iam,0.44
af_lobster_eyes_lead_box,0.44
af_magnito,0.44
af_mahovik,0.44
af_mayatnik,0.44
af_mayatnik3,0.44
af_med,0.44
af_medallion,0.44
af_medusa,0.44
af_medusa_af_aac,0.44
af_medusa_af_aam,0.44
af_medusa_af_iam,0.44
af_medusa_green,0.44
af_microb,0.44
af_midi,0.44
af_mincer_me,0.44
af_mincer_meat,0.44
af_mincer_meat2,0.44
af_mincer_meat_af_aac,0.44
af_mincer_meat_af_aam,0.44
af_mincer_meat_af_iam,0.44
af_misery_bread_af_aac,0.44
af_misery_bread_af_aam,0.44
af_misery_bread_af_iam,0.44
af_misery_bread_lead_box,0.44
af_moh,0.44
af_monolith,0.44
af_morf,0.44
af_nigh_sta,0.44
af_night_star,0.44
af_night_star2,0.44
af_night_star_af_aac,0.44
af_night_star_af_aam,0.44
af_night_star_af_iam,0.44
af_oasis_heart,0.44
af_oasis_heart2,0.44
af_oasis_heart_af_aac,0.44
af_oasis_heart_af_aam,0.44
af_oasis_heart_af_iam,0.44
af_oblivion,0.44
af_oblivion3,0.44
af_oko,0.44
af_oreh,0.44
af_padshi_angel,0.44
af_part_monolit,0.44
af_peas,0.44
af_pendulum,0.44
af_pero,0.44
af_pin,0.44
af_pin_af_aac,0.44
af_pin_af_aam,0.44
af_pin_af_iam,0.44
af_pin_lead_box,0.44
af_plates,0.44
af_poipruz,0.44
af_polymer,0.44
af_polymer_up,0.44
af_propeller,0.44
af_prujina,0.44
af_pudd_1,0.44
af_pudd_2,0.44
af_pudd_3,0.44
af_pudd_4,0.44
af_pulsar,0.44
af_quest_b14_twisted2,0.44
af_quest_b14_twisted_af_aac,0.44
af_quest_b14_twisted_af_aam,0.44
af_quest_b14_twisted_af_iam,0.44
af_raibloko,0.44
af_raibloko3,0.44
af_repei,0.44
af_ring,0.44
af_ring_af_aac,0.44
af_ring_af_aam,0.44
af_ring_af_iam,0.44
af_ring_lead_box,0.44
af_rusty_kristall,0.44
af_rusty_sea_urchin,0.44
af_rusty_thorn,0.44
af_sandstone,0.44
af_seaej,0.44
af_serofim,0.44
af_signet,0.44
af_simbion,0.44
af_skripka,0.44
af_skull_miser,0.44
af_slizen,0.44
af_soul,0.44
af_soul2,0.44
af_soul_af_aac,0.44
af_soul_af_aam,0.44
af_soul_af_iam,0.44
af_spaika,0.44
af_spirit_1,0.44
af_spirit_2,0.44
af_spirit_3,0.44
af_spirit_4,0.44
af_sponge,0.44
af_sponge_af_aac,0.44
af_sponge_af_aam,0.44
af_sponge_af_iam,0.44
af_sponge_lead_box,0.44
af_star_phantom,0.44
af_sun,0.44
af_surge,0.44
af_surge_up,0.44
af_sverlo,0.44
af_swivel,0.44
af_tapeworm,0.44
af_vedsleza,0.44
af_vedsleza3,0.44
af_vereteno,0.44
af_volchok,0.44
af_vyve,0.44
af_vyvert,0.44
af_vyvert2,0.44
af_vyvert3,0.44
af_vyvert_af_aac,0.44
af_vyvert_af_aam,0.44
af_vyvert_af_iam,0.44
af_vyvert_green,0.44
af_water_flower,0.44
af_water_flower1,0.44
af_water_flower2,0.44
af_wish,0.44
af_zelonka,0.44
af_zhelch,0.44
aim_low,0.44
aimpoint,0.44
akvatab,0.44
amk_ice_s,0.44
amk_snezhok,0.44
amk_yoyo,0.44
ammo_11.43x23_fmj,0.44
ammo_11.43x23_fmj_bad,0.44
ammo_11.43x23_fmj_verybad,0.44
ammo_11.43x23_hydro,0.44
ammo_11.43x23_hydro_bad,0.44
ammo_11.43x23_hydro_verybad,0.44
ammo_12.7x55_ap,0.44
ammo_12.7x55_ap_bad,0.44
ammo_12.7x55_ap_verybad,0.44
ammo_12.7x55_fmj,0.44
ammo_12.7x55_fmj_bad,0.44
ammo_12.7x55_fmj_verybad,0.44
ammo_12x70_buck,0.44
ammo_12x70_buck_bad,0.44
ammo_12x70_buck_self,0.44
ammo_12x70_buck_verybad,0.44
ammo_12x76_bull,0.44
ammo_12x76_dart,0.44
ammo_12x76_dart_bad,0.44
ammo_12x76_dart_verybad,0.44
ammo_12x76_zhekan,0.44
ammo_12x76_zhekan_bad,0.44
ammo_12x76_zhekan_verybad,0.44
ammo_357_hp_mag,0.44
ammo_357_hp_mag_bad,0.44
ammo_357_hp_mag_verybad,0.44
ammo_5.45x39_ap,0.44
ammo_5.45x39_ap_bad,0.44
ammo_5.45x39_ap_verybad,0.44
ammo_5.45x39_ep,0.44
ammo_5.45x39_ep_bad,0.44
ammo_5.45x39_ep_verybad,0.44
ammo_5.45x39_fmj,0.44
ammo_5.45x39_fmj_bad,0.44
ammo_5.45x39_fmj_verybad,0.44
ammo_5.56x45_ap,0.44
ammo_5.56x45_ap_bad,0.44
ammo_5.56x45_ap_verybad,0.44
ammo_5.56x45_fmj,0.44
ammo_5.56x45_fmj_bad,0.44
ammo_5.56x45_fmj_verybad,0.44
ammo_5.56x45_ss190,0.44
ammo_5.56x45_ss190_bad,0.44
ammo_5.56x45_ss190_verybad,0.44
ammo_5.7x28_ss190,0.44
ammo_5.7x28_ss190_bad,0.44
ammo_5.7x28_ss190_verybad,0.44
ammo_5.7x28_ss195,0.44
ammo_5.7x28_ss195_bad,0.44
ammo_5.7x28_ss195_verybad,0.44
ammo_7.62x25_p,0.44
ammo_7.62x25_p_bad,0.44
ammo_7.62x25_p_verybad,0.44
ammo_7.62x25_ps,0.44
ammo_7.62x25_ps_bad,0.44
ammo_7.62x25_ps_verybad,0.44
ammo_7.62x39_ap,0.44
ammo_7.62x39_ap_bad,0.44
ammo_7.62x39_ap_verybad,0.44
ammo_7.62x39_fmj,0.44
ammo_7.62x39_fmj_bad,0.44
ammo_7.62x39_fmj_verybad,0.44
ammo_7.62x51_ap,0.44
ammo_7.62x51_ap_bad,0.44
ammo_7.62x51_ap_verybad,0.44
ammo_7.62x51_fmj,0.44
ammo_7.62x51_fmj_bad,0.44
ammo_7.62x51_fmj_verybad,0.44
ammo_7.62x54_7h1,0.44
ammo_7.62x54_7h14,0.44
ammo_7.62x54_7h14_bad,0.44
ammo_7.62x54_7h14_verybad,0.44
ammo_7.62x54_7h1_bad,0.44
ammo_7.62x54_7h1_verybad,0.44
ammo_7.62x54_ap,0.44
ammo_7.62x54_ap_bad,0.44
ammo_7.62x54_ap_verybad,0.44
ammo_7.92x33_ap,0.44
ammo_7.92x33_ap_bad,0.44
ammo_7.92x33_ap_verybad,0.44
ammo_7.92x33_fmj,0.44
ammo_7.92x33_fmj_bad,0.44
ammo_7.92x33_fmj_verybad,0.44
ammo_9x18_ap,0.44
ammo_9x18_ap_bad,0.44
ammo_9x18_ap_verybad,0.44
ammo_9x18_fmj,0.44
ammo_9x18_fmj_bad,0.44
ammo_9x18_fmj_verybad,0.44
ammo_9x18_pmm,0.44
ammo_9x18_pmm_bad,0.44
ammo_9x18_pmm_verybad,0.44
ammo_9x19_ap,0.44
ammo_9x19_ap_bad,0.44
ammo_9x19_ap_verybad,0.44
ammo_9x19_fmj,0.44
ammo_9x19_fmj_bad,0.44
ammo_9x19_fmj_verybad,0.44
ammo_9x19_pbp,0.44
ammo_9x19_pbp_bad,0.44
ammo_9x19_pbp_verybad,0.44
ammo_9x39_ap,0.44
ammo_9x39_ap_bad,0.44
ammo_9x39_ap_verybad,0.44
ammo_9x39_pab9,0.44
ammo_9x39_pab9_bad,0.44
ammo_9x39_pab9_verybad,0.44
ammo_box,0.44
ammo_gauss,0.44
ammo_gauss_bad,0.44
ammo_gauss_cardan,0.44
ammo_gauss_verybad,0.44
ammo_m209,0.44
ammo_m209_bad,0.44
ammo_m209_verybad,0.44
ammo_magnum_300,0.44
ammo_magnum_300_bad,0.44
ammo_magnum_300_verybad,0.44
ammo_og-7b,0.44
ammo_og-7b_bad,0.44
ammo_og-7b_verybad,0.44
ammo_pg_26,0.44
ammo_pg_26_bad,0.44
ammo_pkm_100,0.44
ammo_pkm_100_bad,0.44
ammo_pkm_100_verybad,0.44
ammo_vog-25,0.44
ammo_vog-25_bad,0.44
ammo_vog-25_verybad,0.44
analgetic,0.44
anim_binoc,0.44
anim_knife,0.44
anomaly_scaner,0.44
antibio_chlor,0.44
antibio_sulfad,0.44
antiemetic,0.44
antirad,0.44
antirad_cystamine,0.44
antirad_kalium,0.44
apsabigo,0.44
archangel,0.44
army_bowler,0.46
army_nosorog_outfit,0.44
army_outfit,0.44
army_patch,0.44
artefact_container,0.44
bad_psy_helmet,0.44
bandage,0.44
bandit_exo_outfit,0.44
bandit_exolight_outfit,0.44
bandit_nbc_outfit,0.44
bandit_novice_outfit,0.44
bandit_novice_outfit_alt,0.44
bandit_patch,0.44
bandit_ps5_outfit,0.44
bandit_scientific_dark_outfit,0.44
bandit_scientific_outfit,0.44
bandit_sun_outfit,0.44
banditmerc_outfit,0.44
batteries_dead,0.44
beadspread,0.44
beans,0.44
beer,0.44
bolt,0.44
bolt_bullet,0.44
bolts_pack,0.44
boots,0.44
bottle_metal,0.44
box_matches,0.44
bread,0.44
breadold,0.44
broken_detector,0.44
c-more,0.44
caffeine,0.44
cards,0.44
cash,0.44
charcoal,0.44
chili,0.44
chocolate,0.44
chocolate_p,0.44
cigar,0.44
cigar1,0.44
cigar2,0.44
cigar3,0.44
cigarettes,0.44
cigarettes_lucky,0.44
cigarettes_russian,0.44
cocaine,0.44
compm4s,0.44
compression_bag,0.46
conserva,0.44
cooking,0.46
corn,0.44
cs_exo_outfit,0.44
cs_exolight_outfit,0.44
cs_heavy_outfit,0.44
cs_light_novice_outfit,0.44
cs_light_outfit,0.44
cs_medium_outfit,0.44
cs_nbc_outfit,0.44
cs_novice_outfit,0.44
cs_scientific_outfit,0.44
cs_scientific_outfit_good,0.44
cs_stalker_outfit,0.44
cs_stalker_proto_exo_outfit,0.44
csky_patch,0.44
cutlery,0.44
d0cter,0.44
decoder,0.44
deltapoint,0.44
detector_advanced,0.44
detector_elite,0.44
detector_geiger,0.44
detector_radio,0.44
detector_scientific,0.44
detector_simple,0.44
device_flash_snag,0.44
device_flashlight,0.44
device_pda_1,0.44
device_pda_2,0.44
device_pda_3,0.44
device_pda_port_bandit_leader,0.44
device_pda_zat_b5_dealer,0.44
device_torch,0.44
device_torch_dummy,0.44
device_torch_nv_1,0.44
device_torch_nv_2,0.44
device_torch_nv_3,0.44
dolg_exo_outfit,0.44
dolg_exolight_outfit,0.44
dolg_heavy_outfit,0.44
dolg_heavy_proto_exo_outfit,0.44
dolg_heavy_redline_outfit,0.44
dolg_nosorog_outfit,0.44
dolg_novice_outfit,0.44
dolg_outfit,0.44
dolg_pantsir_outfit,0.44
dolg_patch,0.44
dolg_proto_exo_outfit,0.44
dolg_red_outfit,0.44
dolg_scientific_outfit,0.44
dolg_scientific_red_outfit,0.44
dolg_scientific_wood_outfit,0.44
dolg_scout_outfit,0.44
dolg_specops_red_outfit,0.44
dolg_voin_outfit,0.44
drink_crow,0.44
drug_anabiotic,0.44
drug_antidot,0.44
drug_booster,0.44
drug_coagulant,0.44
drug_psy_blockade,0.44
drug_radioprotector,0.44
drug_sleepingpills,0.44
e0t2,0.44
e_syringe,0.44
ecolog_exo_outfit,0.44
ecolog_guard_outfit,0.44
ecolog_outfit_blue,0.44
ecolog_outfit_green,0.44
ecolog_outfit_orange,0.44
ecolog_outfit_red,0.44
ecolog_outfit_white,0.44
ecolog_outfit_yello,0.44
ecolog_patch,0.44
ecolog_proto_exo_outfit,0.44
ekp8_02,0.44
ekp8_18,0.44
energy_drink,0.44
eot,0.44
equ_military_pack,0.44
equ_small_military_pack,0.44
equ_small_pack,0.44
equ_tourist_pack,0.44
exo_dolg_outfit,0.44
exo_dolg_urban_outfit,0.44
exo_dolg_wood_outfit,0.44
exo_merc_grass_outfit,0.44
exo_merc_urban_outfit,0.44
exo_merc_wood_outfit,0.44
exo_outfit,0.44
exo_wood_outfit,0.44
exolight_outfit,0.44
explo_balon_gas,0.44
explo_balon_gas_empty,0.44
explo_jerrycan_fuel,0.44
explo_jerrycan_fuel_empty,0.44
explo_metalcan_powder,0.44
fieldcooker,0.46
flashlight_broken,0.44
flask,0.44
freedom_exo_vineleaf_outfit,0.44
freedom_nosorog_outfit,0.44
freedom_patch,0.44
gauss_sight,0.44
ghillie_outfit,0.44
gloves,0.44
glucose,0.44
glucose_s,0.44
good_psy_helmet,0.44
greh_armored_camo_outfit,0.44
greh_armored_outfit,0.44
greh_exo_outfit,0.44
greh_patch,0.44
greh_ps5_outfit,0.44
greh_trenchcoat_outfit,0.44
grenade_f1,0.44
grenade_gd-05,0.44
grenade_rgd5,0.44
grenade_smoke,0.44
guitar_a,0.44
gurza_up,0.44
hand_radio,0.44
hand_radio_r,0.44
hand_rolling_tobacco,0.44
hand_watch,0.44
harmonica_a,0.44
headlamp,0.44
helm_ach7,0.44
helm_ach7ex,0.44
helm_bandana,0.44
helm_battle,0.44
helm_cloth_mask,0.44
helm_exo,0.44
helm_hardhat,0.44
helm_hardhat_snag,0.44
helm_m40,0.44
helm_m50,0.44
helm_metro,0.44
helm_ppm88,0.44
helm_protective,0.44
helm_ranger,0.44
helm_resp,0.44
helm_respirator,0.44
helm_respirator_gp5,0.44
helm_respirator_joker,0.44
helm_respirator_old,0.44
helm_rp_bala,0.44
helm_spartan,0.44
helm_tactic,0.44
hide_bloodsucker,0.44
hide_boar,0.44
hide_burer,0.44
hide_chimera,0.44
hide_controller,0.44
hide_flesh,0.44
hide_lurker,0.44
hide_pseudodog,0.44
hide_pseudogiant,0.44
hide_psy_dog,0.44
hide_psysucker,0.44
hybrid_outfit,0.44
ied_new,0.44
ied_rpg_new,0.44
isg_camo_outfit,0.44
isg_exo_outfit,0.44
isg_exolight_outfit,0.44
isg_lcs_camo_outfit,0.44
isg_lcs_outfit,0.44
isg_lcs_urban_outfit,0.44
isg_nosorog_outfit,0.44
isg_outfit,0.44
isg_patch,0.44
isg_proto_exo_outfit,0.44
isg_scientific_outfit,0.44
item_raid_art_fragment_chem,0.44
item_raid_art_fragment_electro,0.44
item_raid_art_fragment_gravi,0.44
item_raid_art_fragment_thermo,0.44
item_raid_art_matrix_chem,0.44
item_raid_art_matrix_electr,0.44
item_raid_art_matrix_gravi,0.44
item_raid_art_matrix_thermo,0.44
item_raid_psi_emitter_plan,0.44
itm_advancedkit,0.92
itm_ammokit,0.92
itm_backpack,0.44
itm_basickit,0.92
itm_deployable_mgun,0.44
itm_drugkit,0.46
itm_expertkit,0.92
itm_pda_common,0.44
itm_pda_rare,0.44
itm_pda_uncommon,0.44
itm_sleepbag,0.46
jar,0.44
jewelry_box,0.44
jgut,0.44
joint,0.44
journal,0.44
jup_a9_conservation_info,0.44
jup_a9_delivery_info,0.44
jup_a9_evacuation_info,0.44
jup_a9_losses_info,0.44
jup_a9_meeting_info,0.44
jup_a9_power_info,0.44
jup_a9_way_info,0.44
jup_b10_notes_01,0.44
jup_b10_notes_02,0.44
jup_b10_notes_03,0.44
jup_b10_ufo_memory,0.44
jup_b10_ufo_memory_2,0.44
jup_b1_half_artifact2,0.44
jup_b1_half_artifact_af_aac,0.44
jup_b1_half_artifact_af_aam,0.44
jup_b1_half_artifact_af_iam,0.44
jup_b200_tech_materials_acetone,0.44
jup_b200_tech_materials_capacitor,0.44
jup_b200_tech_materials_textolite,0.44
jup_b200_tech_materials_transistor,0.44
jup_b200_tech_materials_wire,0.44
jup_b202_bandit_pda,0.44
jup_b205_sokolov_note,0.44
jup_b206_plant,0.44
jup_b207_merc_pda_with_contract,0.44
jup_b209_monster_scanner,0.44
jup_b32_scanner_device,0.44
jup_b46_duty_founder_pda,0.44
jup_b47_jupiter_products_info,0.44
jup_b47_merc_pda,0.44
jup_b9_blackbox,0.44
kab_up,0.44
kashtan_rmr,0.44
kemper,0.44
kerosene,0.44
killer_patch,0.44
kit_aus_tri,0.44
kit_fal_leup,0.44
kit_hunt,0.44
kit_sa5x_spec,0.44
kobra,0.44
kolbasa,0.44
kp_sr2,0.44
lapua700,0.44
lazup_pl15,0.44
lead_box,0.44
letter_ecologist_report_1_of_3,0.44
letter_ecologist_report_2_of_3,0.44
letter_ecologist_report_3_of_3,0.44
letter_freedom_manual_1_of_2,0.44
letter_freedom_manual_2_of_2,0.44
letter_letter_to_outside,0.44
letter_memoirs_1_of_2,0.44
letter_memoirs_2_of_2,0.44
letter_mercenary,0.44
letter_military_log,0.44
letter_military_stalker,0.44
letter_monolith_prayer_1_of_3,0.44
letter_monolith_prayer_2_of_3,0.44
letter_monolith_prayer_3_of_3,0.44
letter_monolithian_thoughts,0.44
letter_stalker_letter_1_of_2,0.44
letter_stalker_letter_2_of_2,0.44
letter_stalker_letter_3,0.44
leupold,0.44
light_dolg_outfit,0.44
light_freedom_outfit,0.44
light_isg_outfit,0.44
light_loner_outfit,0.44
light_merc_outfit,0.44
light_monolit_outfit,0.44
light_voen_outfit,0.44
lx8_service_instruction,0.44
magpul_pro,0.44
main_story_1_quest_case,0.44
main_story_2_lab_x18_documents,0.44
main_story_3_lab_x16_documents,0.44
main_story_4_lab_x10_documents,0.44
main_story_5_lab_x8_documents,0.44
main_story_6_jup_ug_documents,0.44
main_story_7_mon_con_documents,0.44
marchf,0.44
marijuana,0.44
mark8_rmr,0.44
matches,0.44
meat_bloodsucker,0.44
meat_bloodsucker_a,0.44
meat_bloodsucker_b,0.44
meat_boar,0.44
meat_boar_a,0.44
meat_boar_b,0.44
meat_chimera,0.44
meat_chimera_a,0.44
meat_chimera_b,0.44
meat_dog,0.44
meat_dog_a,0.44
meat_dog_b,0.44
meat_flesh,0.44
meat_flesh_a,0.44
meat_flesh_b,0.44
meat_lurker,0.44
meat_lurker_a,0.44
meat_lurker_b,0.44
meat_pseudodog,0.44
meat_pseudodog_a,0.44
meat_pseudodog_b,0.44
meat_psysucker,0.44
meat_psysucker_a,0.44
meat_psysucker_b,0.44
meat_snork,0.44
meat_snork_a,0.44
meat_snork_b,0.44
meat_tushkano,0.44
meat_tushkano_a,0.44
meat_tushkano_b,0.44
medkit,0.44
medkit_ai1,0.44
medkit_ai2,0.44
medkit_ai3,0.44
medkit_army,0.44
medkit_scientic,0.44
medkit_script,0.44
mepro,0.44
merc_ace_outfit,0.44
merc_coyote_outfit,0.44
merc_exo_outfit,0.44
merc_exolight_outfit,0.44
merc_fighter_outfit,0.44
merc_jackal_outfit,0.44
merc_nighthunter_outfit,0.44
merc_nosorog_outfit,0.44
merc_outfit,0.44
merc_scientific_armored_outfit,0.44
merc_scientific_outfit,0.44
merc_scout_outfit,0.44
merc_sun_outfit,0.44
merc_sunset_outfit,0.44
merc_wolven_outfit,0.44
military_bandit_outfit,0.44
military_exo_outfit,0.44
military_exolight_outfit,0.44
military_freedom_outfit,0.44
military_merc_outfit,0.44
military_monolit_outfit,0.44
military_outfit,0.44
military_proto_exo_outfit,0.44
military_sky_outfit,0.44
mine_new,0.44
mineral_water,0.44
mint,0.44
mirror,0.44
mod9,0.44
mod_x_gen3,0.44
money_10,0.44
money_100,0.44
money_1000,0.44
money_1000_5000,0.44
money_100_200,0.44
money_10_50,0.44
money_200_300,0.44
money_300_400,0.44
money_400_500,0.44
money_50,0.44
money_500,0.44
money_5000,0.44
money_5000_end,0.44
money_500_600,0.44
money_50_100,0.44
money_600_700,0.44
money_700_800,0.44
money_800_900,0.44
money_900_1000,0.44
mono_kit,0.44
monolith_exo_outfit,0.44
monolith_exolight_outfit,0.44
monolith_nbc_outfit,0.44
monolith_nosorog_outfit,0.44
monolith_outfit,0.44
monolith_patch,0.44
monolith_proto_exo_outfit,0.44
monolith_scientific_light_outfit,0.44
monolith_scientific_outfit,0.44
monolith_trenchcoat_outfit,0.44
morphine,0.44
mre,0.44
mutant_part_boar_chop,0.44
mutant_part_boar_leg,0.44
mutant_part_brain_burer,0.44
mutant_part_burer_hand,0.44
mutant_part_cat_claw,0.44
mutant_part_cat_tail,0.44
mutant_part_cat_thyroid,0.44
mutant_part_chimera_claw,0.44
mutant_part_chimera_kogot,0.44
mutant_part_chimera_meat,0.44
mutant_part_controller_glass,0.44
mutant_part_controller_hand,0.44
mutant_part_dog_heart,0.44
mutant_part_dog_liver,0.44
mutant_part_dog_meat,0.44
mutant_part_dog_tail,0.44
mutant_part_fang_psevdodog,0.44
mutant_part_flesh_eye,0.44
mutant_part_flesh_meat,0.44
mutant_part_fracture_hand,0.44
mutant_part_heart_bloodsucker,0.44
mutant_part_heart_chimera,0.44
mutant_part_krovosos_jaw,0.44
mutant_part_krovosos_meat,0.44
mutant_part_lurker_eye,0.44
mutant_part_lurker_meat,0.44
mutant_part_lurker_tail,0.44
mutant_part_pseudogigant_eye,0.44
mutant_part_pseudogigant_hand,0.44
mutant_part_psevdodog_meat,0.44
mutant_part_psevdodog_tail,0.44
mutant_part_psysucker_hand,0.44
mutant_part_psysucker_meat,0.44
mutant_part_snork_hand,0.44
mutant_part_snork_leg,0.44
mutant_part_snork_mask,0.44
mutant_part_tushkano_head,0.44
mutant_part_tushkano_meat,0.44
mutant_part_tusk_boar,0.44
mutant_part_zombi_hand,0.44
nbc_dolg_outfit,0.44
nbc_freedom_outfit,0.44
nbc_merc_outfit,0.44
nbc_outfit,0.44
nomad_outfit,0.44
novice_outfit,0.44
novice_outfit_camo,0.44
novice_outfit_tourist,0.44
nuts,0.44
